Genome	Source	Original_GFF	Staged_GFF
GCA_050506675.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506675.1/bacteraemia__GCA_050506675.1.gff	data/processed/core_genome/input_gffs_72/GCA_050506675.1.gff
GCA_050506685.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506685.1/bacteraemia__GCA_050506685.1.gff	data/processed/core_genome/input_gffs_72/GCA_050506685.1.gff
GCA_050506695.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506695.1/bacteraemia__GCA_050506695.1.gff	data/processed/core_genome/input_gffs_72/GCA_050506695.1.gff
GCA_050506725.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506725.1/bacteraemia__GCA_050506725.1.gff	data/processed/core_genome/input_gffs_72/GCA_050506725.1.gff
GCA_050506735.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506735.1/bacteraemia__GCA_050506735.1.gff	data/processed/core_genome/input_gffs_72/GCA_050506735.1.gff
GCA_050506745.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506745.1/bacteraemia__GCA_050506745.1.gff	data/processed/core_genome/input_gffs_72/GCA_050506745.1.gff
GCA_050506755.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506755.1/bacteraemia__GCA_050506755.1.gff	data/processed/core_genome/input_gffs_72/GCA_050506755.1.gff
GCA_050506765.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506765.1/bacteraemia__GCA_050506765.1.gff	data/processed/core_genome/input_gffs_72/GCA_050506765.1.gff
GCA_050506775.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506775.1/bacteraemia__GCA_050506775.1.gff	data/processed/core_genome/input_gffs_72/GCA_050506775.1.gff
GCA_050506815.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506815.1/bacteraemia__GCA_050506815.1.gff	data/processed/core_genome/input_gffs_72/GCA_050506815.1.gff
GCA_050506825.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506825.1/bacteraemia__GCA_050506825.1.gff	data/processed/core_genome/input_gffs_72/GCA_050506825.1.gff
GCA_050506865.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506865.1/bacteraemia__GCA_050506865.1.gff	data/processed/core_genome/input_gffs_72/GCA_050506865.1.gff
GCA_050506875.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506875.1/bacteraemia__GCA_050506875.1.gff	data/processed/core_genome/input_gffs_72/GCA_050506875.1.gff
GCA_050506885.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506885.1/bacteraemia__GCA_050506885.1.gff	data/processed/core_genome/input_gffs_72/GCA_050506885.1.gff
GCA_050506905.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506905.1/bacteraemia__GCA_050506905.1.gff	data/processed/core_genome/input_gffs_72/GCA_050506905.1.gff
GCA_050506915.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506915.1/bacteraemia__GCA_050506915.1.gff	data/processed/core_genome/input_gffs_72/GCA_050506915.1.gff
GCA_050506925.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506925.1/bacteraemia__GCA_050506925.1.gff	data/processed/core_genome/input_gffs_72/GCA_050506925.1.gff
GCA_050506935.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506935.1/bacteraemia__GCA_050506935.1.gff	data/processed/core_genome/input_gffs_72/GCA_050506935.1.gff
GCA_050506985.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506985.1/bacteraemia__GCA_050506985.1.gff	data/processed/core_genome/input_gffs_72/GCA_050506985.1.gff
GCA_050506995.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506995.1/bacteraemia__GCA_050506995.1.gff	data/processed/core_genome/input_gffs_72/GCA_050506995.1.gff
GCA_050507065.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050507065.1/bacteraemia__GCA_050507065.1.gff	data/processed/core_genome/input_gffs_72/GCA_050507065.1.gff
GCA_050507075.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050507075.1/bacteraemia__GCA_050507075.1.gff	data/processed/core_genome/input_gffs_72/GCA_050507075.1.gff
GCA_050507105.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050507105.1/bacteraemia__GCA_050507105.1.gff	data/processed/core_genome/input_gffs_72/GCA_050507105.1.gff
