sample_number	dataset_id	dataset_category	strain	biosample_accession	assembly_accession	bioproject_accession	study_title	assembly_level	source_group	sample_type	host	geographic_location	country	collection_year	sequencing_technology	chromosome_count	plasmid_status	plasmid_count	associated_paper	pathology_context
28	bacteraemia_58	Bacteraemia	C2195	SAMN44727018	GCA_050481115.1	PRJNA1185791	Enterococcus faecium and Enterococcus faecalis hybrid assemblies	Complete genome	Clinical laboratory		Homo sapiens	USA: Jackson, Mississippi	USA		Oxford Nanopore GridION	2	Y	1	https://pubmed.ncbi.nlm.nih.gov/40236068/	recalcitrant enterococcal bacteremia
29	bacteraemia_58	Bacteraemia	C8810	SAMN44727019	GCA_050481105.1	PRJNA1185791	Enterococcus faecium and Enterococcus faecalis hybrid assemblies	Complete genome	Clinical laboratory		Homo sapiens	USA: Jackson, Mississippi	USA		Oxford Nanopore GridION	3	Y	2	https://pubmed.ncbi.nlm.nih.gov/40236068/	recalcitrant enterococcal bacteremia
30	bacteraemia_58	Bacteraemia	C8814	SAMN44727020	GCA_050480515.1	PRJNA1185791	Enterococcus faecium and Enterococcus faecalis hybrid assemblies	Complete genome	Clinical laboratory		Homo sapiens	USA: Jackson, Mississippi	USA		Oxford Nanopore GridION	3	Y	2	https://pubmed.ncbi.nlm.nih.gov/40236068/	recalcitrant enterococcal bacteremia
31	bacteraemia_58	Bacteraemia	C2196	SAMN44727002	GCA_050485635.1	PRJNA1185791	Enterococcus faecium and Enterococcus faecalis hybrid assemblies	Complete genome	Clinical laboratory		Homo sapiens	USA: Jackson, Mississippi	USA		Oxford Nanopore GridION	3	Y	2	https://pubmed.ncbi.nlm.nih.gov/40236068/	recalcitrant enterococcal bacteremia
32	bacteraemia_58	Bacteraemia	C2198	SAMN44727003	GCA_050485625.1	PRJNA1185791	Enterococcus faecium and Enterococcus faecalis hybrid assemblies	Complete genome	Clinical laboratory		Homo sapiens	USA: Jackson, Mississippi	USA		Oxford Nanopore GridION	3	Y	2	https://pubmed.ncbi.nlm.nih.gov/40236068/	recalcitrant enterococcal bacteremia
33	bacteraemia_58	Bacteraemia	C8811	SAMN44727004	GCA_050485055.1	PRJNA1185791	Enterococcus faecium and Enterococcus faecalis hybrid assemblies	Complete genome	Clinical laboratory		Homo sapiens	USA: Jackson, Mississippi	USA		Oxford Nanopore GridION	5	Y	4	https://pubmed.ncbi.nlm.nih.gov/40236068/	recalcitrant enterococcal bacteremia
34	bacteraemia_58	Bacteraemia	C8816	SAMN44727005	GCA_050485045.1	PRJNA1185791	Enterococcus faecium and Enterococcus faecalis hybrid assemblies	Complete genome	Clinical laboratory		Homo sapiens	USA: Jackson, Mississippi	USA		Oxford Nanopore GridION	5	Y	4	https://pubmed.ncbi.nlm.nih.gov/40236068/	recalcitrant enterococcal bacteremia
35	bacteraemia_58	Bacteraemia	C1539	SAMN44727046	GCA_050473905.1	PRJNA1185791	Enterococcus faecium and Enterococcus faecalis hybrid assemblies	Complete genome	Clinical laboratory		Homo sapiens	USA: Jackson, Mississippi	USA		Oxford Nanopore GridION	3	Y	2	https://pubmed.ncbi.nlm.nih.gov/40236068/	recalcitrant enterococcal bacteremia
36	bacteraemia_58	Bacteraemia	C1554	SAMN44727047	GCA_050473355.1	PRJNA1185791	Enterococcus faecium and Enterococcus faecalis hybrid assemblies	Complete genome	Clinical laboratory		Homo sapiens	USA: Jackson, Mississippi	USA		Oxford Nanopore GridION	1	N	0	https://pubmed.ncbi.nlm.nih.gov/40236068/	recalcitrant enterococcal bacteremia
37	bacteraemia_58	Bacteraemia	C1555	SAMN44727048	GCA_050473345.1	PRJNA1185791	Enterococcus faecium and Enterococcus faecalis hybrid assemblies	Complete genome	Clinical laboratory		Homo sapiens	USA: Jackson, Mississippi	USA		Oxford Nanopore GridION	1	N	0	https://pubmed.ncbi.nlm.nih.gov/40236068/	recalcitrant enterococcal bacteremia
38	bacteraemia_58	Bacteraemia	C1577	SAMN44727049	GCA_050472755.1	PRJNA1185791	Enterococcus faecium and Enterococcus faecalis hybrid assemblies	Complete genome	Clinical laboratory		Homo sapiens	USA: Jackson, Mississippi	USA		Oxford Nanopore GridION	2	Y	1	https://pubmed.ncbi.nlm.nih.gov/40236068/	recalcitrant enterococcal bacteremia
39	bacteraemia_58	Bacteraemia	C1578	SAMN44727050	GCA_050472745.1	PRJNA1185791	Enterococcus faecium and Enterococcus faecalis hybrid assemblies	Chromosome	Clinical laboratory		Homo sapiens	USA: Jackson, Mississippi	USA		Oxford Nanopore GridION	2	Y	1	https://pubmed.ncbi.nlm.nih.gov/40236068/	recalcitrant enterococcal bacteremia
40	bacteraemia_58	Bacteraemia	C1321	SAMN44727037	GCA_050476085.1	PRJNA1185791	Enterococcus faecium and Enterococcus faecalis hybrid assemblies	Complete genome	Clinical laboratory		Homo sapiens	USA: Jackson, Mississippi	USA		Oxford Nanopore GridION	4	Y	3	https://pubmed.ncbi.nlm.nih.gov/40236068/	recalcitrant enterococcal bacteremia
41	bacteraemia_58	Bacteraemia	C1329	SAMN44727038	GCA_050475575.1	PRJNA1185791	Enterococcus faecium and Enterococcus faecalis hybrid assemblies	Complete genome	Clinical laboratory		Homo sapiens	USA: Jackson, Mississippi	USA		Oxford Nanopore GridION	4	Y	3	https://pubmed.ncbi.nlm.nih.gov/40236068/	recalcitrant enterococcal bacteremia
42	bacteraemia_58	Bacteraemia	C1336	SAMN44727039	GCA_050475565.1	PRJNA1185791	Enterococcus faecium and Enterococcus faecalis hybrid assemblies	Complete genome	Clinical laboratory		Homo sapiens	USA: Jackson, Mississippi	USA		Oxford Nanopore GridION	3	Y	2	https://pubmed.ncbi.nlm.nih.gov/40236068/	recalcitrant enterococcal bacteremia
